Organization Name,CrunchBase URL,Last Funding Date,Total Funding Amount,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Website,Estimated Revenue Range,Top 5 Investors,Lead Investors,Twitter,LinkedIn,Number of Employees,Last Funding Amount,Founded Date
Qunnect,https://www.crunchbase.com/organization/qunnect,"Jun 24, 2025","$22,455,556",Not Started,"Cyber Security, Information Technology, Quantum Computing, Telecommunications","New York, New York, United States",Qunnect is a spin-off venture company enabling the quantum internet for quantum repeater operation.,859,https://www.qunnect.inc/,$1M to $10M,"Cisco Investments, SandboxAQ, Quantonation, National Science Foundation, Stony Lonesome Group","Airbus Ventures, National Science Foundation, US Department of Energy",https://x.com/qunnectinc,https://www.linkedin.com/company/qunnectllc/,11-50,"$10,000,000",Nov 2017
XBOW,https://www.crunchbase.com/organization/xbow,"Jun 24, 2025","$117,000,000",Not Started,"Computer, Network Security","Seattle, Washington, United States","XBOW operates autonomously, carrying out commands and analyzing the results to achieve higher-level objectives.",904,https://xbow.com/,$1M to $10M,"Sequoia Capital, Altimeter Capital, Olivier Pomel, Michele Catasta, Nat Friedman","Altimeter Capital, Nat Friedman, Sequoia Capital",https://x.com/xbow,https://www.linkedin.com/company/xbow,11-50,"$75,000,000",2024
Remitly,https://www.crunchbase.com/organization/remitly,"Jun 24, 2025","$1,077,488,894",Not Started,"Financial Services, FinTech, Payments","Seattle, Washington, United States",Remitly is a mobile payments service that enables users to make person-to-person international money transfers.,"1,116",http://www.remitly.com/,$1B to $10B,"QED Investors, International Finance Corporation, Techstars, Goldman Sachs, Threshold","Founders' Co-op, Generation Investment Management, JP Morgan, PayU GPO, QED Investors, Stripes, Threshold, Trilogy Equity Partners, Visa",https://x.com/remitly,http://www.linkedin.com/company/remitly,1001-5000,"$550,000,000",2011
Flowdesk,https://www.crunchbase.com/organization/flowdesk,"Jun 24, 2025","$282,000,000",Not Started,"Cryptocurrency, Financial Services, FinTech, Information Technology, Web3","Paris, Ile-de-France, France",Flowdesk is a digital asset trading company that combines financial and crypto expertise to connect digital assets with global liquidity.,"1,365",https://flowdesk.co/,$1M to $10M,"Bpifrance, BlackRock, Speedinvest, Coinbase, Ripple","Aglaé Ventures, Cathay Innovation, Eurazeo, HV Capital, Two Prime Lending",https://x.com/flowdesk_co,https://www.linkedin.com/company/flowdesk-france,101-250,"$100,000,000","Jun 1, 2020"
LILT,https://www.crunchbase.com/organization/lilt,"Jun 24, 2025","$162,921,264",Not Started,"Artificial Intelligence (AI), Enterprise Software, Machine Learning, Natural Language Processing, Translation Service","Emeryville, California, United States",LILT develops enterprise translation and content creation solutions to provide professional translation services to organizations.,"1,795",https://lilt.com/,$1M to $10M,"Sequoia Capital, Redpoint, Zetta Venture Partners, Intel Capital, Sorenson Capital","Four Rivers Group, Intel Capital, Redpoint, Sequoia Capital, Zetta Venture Partners",https://x.com/lilthq,https://www.linkedin.com/company/lilthq,251-500,"$24,999,992",2015
Brij,https://www.crunchbase.com/organization/brij-6889,"Jun 24, 2025","$11,900,000",Not Started,"Internet of Things, Marketing, Software","New York, New York, United States",Brij is a platform that powers one-touch product registration and reorders by connecting physical products to digital experiences.,"3,017",https://brij.it/,Less than $1M,"The Artemis Fund, Forum Ventures, Red Bike Capital, Pareto Holdings, Lakehouse Ventures","Bright Pixel Capital, CEAS Investments, Lakehouse Ventures, Rationalwave Capital Partners",,https://www.linkedin.com/company/brij-it,11-50,"$8,000,000","Jan 31, 2019"
KnowBe4,https://www.crunchbase.com/organization/knowbe4-llc,"Jun 24, 2025","$2,153,540,519",Not Started,"Computer, Cyber Security, Network Security, Security, Software","Clearwater, Florida, United States",KnowBe4 is a security platform for security awareness training and simulated phishing attacks.,"3,153",http://www.knowbe4.com/,$100M to $500M,"Ten Eleven Ventures, JP Morgan Chase, Kohlberg Kravis Roberts & Co., Goldman Sachs Growth Equity, Elephant","Elephant, Goldman Sachs Growth Equity, JP Morgan Chase, Kohlberg Kravis Roberts & Co.",https://x.com/knowbe4,http://www.linkedin.com/company/knowbe4,1001-5000,"$1,460,000,000","Aug 10, 2010"
Abridge,https://www.crunchbase.com/organization/abridge-d1a4,"Jun 24, 2025","$757,500,000",Not Started,"Artificial Intelligence (AI), Health Care, Intelligent Systems, Machine Learning, Medical","Pittsburgh, Pennsylvania, United States",Abridge is an AI-driven platform that transforms patient-clinician conversations into structured clinical notes for healthcare industries.,"4,125",https://www.abridge.com/,$100M to $500M,"Andreessen Horowitz, Lightspeed Venture Partners, Bessemer Venture Partners, Union Square Ventures, Khosla Ventures","Andreessen Horowitz, Elad Gil, IKS Health, IVP, Khosla Ventures, Lightspeed Venture Partners, Redpoint, Spark Capital, Union Square Ventures, UPMC, Wittington Ventures",https://x.com/AbridgeHQ,https://www.linkedin.com/company/abridgehq,251-500,"$300,000,000",2018
SynthFlow AI,https://www.crunchbase.com/organization/synthflow-ai,"Jun 24, 2025","$28,984,617",Not Started,"Artificial Intelligence (AI), Productivity Tools, Software","Berlin, Berlin, Germany","Synthflow AI empowers businesses to build customizable, no-code AI voice assistants that handle a variety of tasks.","4,188",https://synthflow.ai/,$10M to $50M,"Accel, Singular, Atlantic, BigStory VC","Accel, Atlantic, Singular",https://x.com/SynthflowAI,https://www.linkedin.com/company/synthflowai,11-50,"$20,000,000",Jul 2023
Delphi,https://www.crunchbase.com/organization/delphi-2495,"Jun 24, 2025","$18,700,000",Not Started,"Artificial Intelligence (AI), Consumer, Education, Software","San Francisco, California, United States","Delphi is a digital cloning platform that can capture how you think, making your insights available to others in a personalized way.","4,922",https://www.delphi.ai/,$1M to $10M,"Menlo Ventures, Sequoia Capital, Founders Fund, Lux Capital, Abstract","Founders Fund, Keith Rabois, Sequoia Capital",https://x.com/with_delphi,https://www.linkedin.com/company/delphi-ai,11-50,"$16,000,000","Dec 12, 2022"
OneMedNet,https://www.crunchbase.com/organization/onemednet,"Jun 24, 2025","$23,180,223",Not Started,"Electronic Health Record (EHR), Health Care, Medical, Service Industry","Eden Prairie, Minnesota, United States",OneMedNet is a fully secure on-demand electronic network for the point-to-point exchange of confidential medical information.,"5,643",https://www.onemednet.com/,$1M to $10M,"Off the Chain Capital, Discovery Capital Management","Discovery Capital Management, Off the Chain Capital",https://x.com/OneMedNet,https://www.linkedin.com/company/onemednet-corporation,11-50,"$3,700,000",2006
Chipotle Mexican Grill,https://www.crunchbase.com/organization/chipotle-mexican-grill,"Jun 24, 2025","$500,000,000",Not Started,"Food and Beverage, Hospitality, Restaurants","Newport Beach, California, United States",Chipotle Mexican Grill is a chain of restaurants that specializes in burritos and tacos.,"5,713",http://www.chipotle.com/,$10B+,—,—,https://x.com/chipotletweets,http://www.linkedin.com/company/chipotle-mexican-grill,10001+,"$500,000,000",1993
Paraform,https://www.crunchbase.com/organization/paraform,"Jun 24, 2025","$25,000,000",Not Started,"Marketplace, Online Portals, Recruiting","San Francisco, California, United States",Paraform connects sales teams with recruiters to streamline hiring processes.,"5,732",https://www.paraform.com/,$1M to $10M,"Bond, Felicis, Liquid 2 Ventures, A*, DST Global","A*, Felicis, Primer Sazze Partners",https://x.com/paraformtalent,https://www.linkedin.com/company/paraformxyz,11-50,"$20,000,000",2023
SuperDial,https://www.crunchbase.com/organization/superdial,"Jun 24, 2025","$19,156,466",Not Started,"Artificial Intelligence (AI), Health Care, InsurTech, Software","San Francisco, California, United States","SuperDial uses voice AI to automate high-volume phone calls across healthcare, reducing admin burden and boosting operational efficiency.","6,848",https://www.superdial.com/,$1M to $10M,"BoxGroup, Slow Ventures, FJ Labs, SignalFire, Soma Capital",SignalFire,,http://www.linkedin.com/company/superdial,11-50,"$12,000,000",2021
Nice Healthcare,https://www.crunchbase.com/organization/nice-healthcare,"Jun 24, 2025","$48,657,201",Not Started,"Health Care, Home Health Care, Medical, Mental Health, Personal Health, Primary and Urgent Care","Minneapolis, Minnesota, United States","Nice Healthcare provides primary care, physical therapy, and chronic-care management services.","8,158",https://www.nice.healthcare/,$1M to $10M,"Conductive Ventures, Santa Barbara Venture Partners, Groove Capital, Headwater Ventures, Indie.vc","Conductive Ventures, DNA Capital, Indie.vc, Waterline Ventures",https://x.com/nicehealthcare,https://www.linkedin.com/company/nice-healthcare/,101-250,"$6,557,201",2017
Kognitos,https://www.crunchbase.com/organization/kognitos,"Jun 24, 2025","$53,349,999",Not Started,"Artificial Intelligence (AI), Business Development, Software","San Jose, California, United States",Kognitos is an AI platform that automates business operations using natural language.,"8,640",https://www.kognitos.com/,$1M to $10M,"Alumni Ventures, Khosla Ventures, Wipro Ventures, Dentsu Ventures, Prosperity7 Ventures","Clear Ventures, Engineering Capital, Khosla Ventures, Prosperity7 Ventures",https://x.com/Kognitos_Inc,https://www.linkedin.com/company/kognitos,101-250,"$25,000,000",2020
Eventual,https://www.crunchbase.com/organization/eventual-4cef,"Jun 24, 2025","$30,000,000",Not Started,"Artificial Intelligence (AI), Cloud Computing, Database, Machine Learning, Open Source, Video","San Francisco, California, United States","Eventual makes processing images, video & audio as easy as SQL. Their platform helps AI companies handle petabytes of multimodal data.","8,678",https://www.eventual.ai/,—,"Alumni Ventures, Citi, Y Combinator, Felicis, CRV","Alumni Ventures, CRV, Felicis",https://x.com/daftengine,https://www.linkedin.com/company/eventualcomputing,11-50,"$20,000,000",Jan 2022
Jobright,https://www.crunchbase.com/organization/jobright,"Jun 24, 2025","$7,700,000",Not Started,"Artificial Intelligence (AI), Employment, Recruiting, Search Engine","Santa Clara, California, United States","Jobright is an AI-native job platform providing a career agent that finds, customizes, and submits applications on behalf of job seekers.","9,319",https://jobright.ai/,—,"Translink Capital, UpHonest Capital, HR Tech Investments LLC",Translink Capital,https://x.com/jobrightai,https://www.linkedin.com/company/jobright-ai,1-10,"$3,200,000","Apr 5, 2023"
LanceDB,https://www.crunchbase.com/organization/lancedb,"Jun 24, 2025","$41,000,000",Not Started,"Artificial Intelligence (AI), Information Services, Machine Learning","San Francisco, California, United States","LanceDB is a developer friendly, open source database for multi-modal AI.","9,591",http://lancedb.com/,—,"Runway, Y Combinator, CRV, Theory Ventures, Zero Prime Ventures","CRV, Theory Ventures",https://x.com/lancedb,https://www.linkedin.com/company/lancedb,11-50,"$30,000,000",Dec 2021
Phamily,https://www.crunchbase.com/organization/phamily,"Jun 24, 2025","$25,000,000",Not Started,"Health Care, Health Diagnostics, Information Technology, Internet, Virtual Assistant","Cincinnati, Ohio, United States",Phamily is a provider of a patient engagement platform intended to make ccm possible and profitable.,"9,932",https://phamily.com/,$1M to $10M,"Hustle Fund, Level Equity Management, Mentors Fund, Darwin Venture Management",Level Equity Management,https://x.com/PhamilyCares,https://www.linkedin.com/company/jaan-health/,51-100,"$15,000,000",2013
