Organization Name,CrunchBase URL,Last Funding Date,Total Funding Amount,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Website,Estimated Revenue Range,Top 5 Investors,Lead Investors,Twitter,LinkedIn,Number of Employees,Last Funding Amount,Founded Date
Reperio Health,https://www.crunchbase.com/organization/reperio,"Apr 19, 2025","$26,695,000",Not Started,"Artificial Intelligence (AI), Employee Benefits, Health Care, Health Diagnostics, Life Science, Personal Health","Portland, Oregon, United States","Reperio offers a patented at-home health assessment technology that's immediately followed by an on demand, AI-assisted virtual visit.","7,440",https://reperiohealth.com/,$1M to $10M,"Liquid 2 Ventures, Rogue Venture Partners, Portland Seed Fund, Caduceus Capital Partners, G Ventures","Caduceus Capital Partners, Rogue Venture Partners",https://x.com/ReperioHealth,https://www.linkedin.com/company/reperio-health,11-50,"$14,000,000","Jan 1, 2020"
Haus,https://www.crunchbase.com/organization/haus-analytics,"Apr 18, 2025","$61,149,912",Not Started,"Analytics, Enterprise Software, Marketing, Test and Measurement","Mountain View, California, United States",Haus is a marketing science platform that helps brands understand the true business impact of their marketing spend.,"2,561",https://www.haus.io/,—,"Insight Partners, MANTIS Venture Capital, Haystack, 01 Advisors, Upside Partnership","01 Advisors, Insight Partners",,https://www.linkedin.com/company/haus-analytics,51-100,"$18,299,934",2021
Yarbo,https://www.crunchbase.com/organization/yarbo,"Apr 18, 2025","$27,000,000",Not Started,"Consumer Goods, E-Commerce, Outdoors","Ronkonkoma, New York, United States","Yarbo creates autonomous yard care robots that mow, plow, and blow, simplifying outdoor maintenance.","2,956",https://yarbo.com/,$1M to $10M,"CICC Capital, CAS Investment Management, Joyoung",—,https://x.com/yarboglobal,https://www.linkedin.com/company/yarboglobal,51-100,"$27,000,000",2015
Involve.ai,https://www.crunchbase.com/organization/involveai,"Apr 18, 2025","$26,823,474",Not Started,"Analytics, Artificial Intelligence (AI), Enterprise Software, Information Technology, Machine Learning, SaaS, Software","Santa Monica, California, United States",involve.ai is leading the Customer Intelligence Movement to empower companies with transformational growth,"16,241",https://www.involve.ai/,$1M to $10M,"Sapphire Ventures, Techstars, Bonfire Ventures, Greycroft, Mucker Capital",Bonfire Ventures,https://x.com/ai_involve,https://www.linkedin.com/company/involveai/,51-100,"$8,323,474",2015
PhotoPharmics,https://www.crunchbase.com/organization/photpharmics,"Apr 18, 2025","$64,288,436",Not Started,"Biotechnology, Health Care, Life Science, Medical Device, Pharmaceutical","Lehi, Utah, United States",PhotoPharmics is a medical device company that develops treatments for treating neurodegenerative disorders.,"19,649",http://photopharmics.com/,Less than $1M,"Kickstart, PC Squared, LLC",Kickstart,https://x.com/photopharmics,https://www.linkedin.com/company/photopharmics-inc,11-50,"$6,000,000",2011
Comprehensive,https://www.crunchbase.com/organization/comprehensive,"Apr 18, 2025","$15,074,190",Not Started,"Human Resources, Software","San Francisco, California, United States",All-in-one employee compensation platform that helps companies make better pay decisions – without requiring a thousand spreadsheets,"29,087",https://www.comprehensive.io/,$1M to $10M,"Floodgate, SV Angel, Liquid 2 Ventures, Inspired Capital Partners, Soma Capital",Inspired Capital Partners,https://x.com/comprehensiveio,https://www.linkedin.com/company/comprehensiveio,11-50,"$9,074,190",2021
CarePay International,https://www.crunchbase.com/organization/carepay-international,"Apr 18, 2025","$61,974,593",Not Started,"Finance, FinTech, Health Care, Hospital, InsurTech","Amsterdam, Noord-Holland, The Netherlands",CarePay is a mobile health data and payment distribution platform.,"30,166",https://www.carepay.com/,$1M to $10M,"Reinsurance Group Of America, Invest International, Dutch Ministry of Foreign Affairs, ELMA Philanthropies, Investment Funds for Health in Africa",Invest International,https://x.com/carepayke,https://www.linkedin.com/company/carepay-international,101-250,"€5,000,000",Jun 2015
SOMAVAC Medical Solutions,https://www.crunchbase.com/organization/somavac-medical-solutions,"Apr 18, 2025","$14,941,471",Not Started,"Life Science, Medical Device, Wellness","Memphis, Tennessee, United States",SOMAVAC is pioneering new technology platforms to improve the recovery after elective surgeries like breast cancer and hernia repairs.,"30,275",http://www.somavac.com/,$1M to $10M,"Innova Memphis, Launch Tennessee, ZeroTo510",Innova Memphis,https://x.com/SOMAVACMedical,https://www.linkedin.com/company/somavac,1-10,"$8,433,128","Apr 28, 2016"
Evergreen GmbH,https://www.crunchbase.com/organization/evergreen-gmbh,"Apr 18, 2025","€12,350,000",Not Started,"Asset Management, Banking, Financial Services, FinTech, Personal Finance","Leipzig, Sachsen, Germany",The Digital Wealth Management API Company,"43,329",https://www.evergreen.de/,$1M to $10M,"Mittelständische Beteiligungsgesellschaft Sachsen - MBG, FSR Capital, ZAIS Group, CZG Verwaltungsgesellschaft mit beschränkter Haftung, White Mountain Beratungsgesellschaft mbH","FSR Capital, ZAIS Group",https://x.com/EvergreenGmbH,https://www.linkedin.com/company/evergreen-gmbh/,11-50,"€5,000,000","Aug 13, 2018"
Caddis,https://www.crunchbase.com/organization/caddis-911a,"Apr 18, 2025","$21,129,057",Not Started,"Consumer Goods, Eyewear, Product Design","Salt Lake City, Utah, United States",Caddis is a lifestyle brand addressing the health and wellness needs of individuals ages forty and older.,"48,748",https://caddislife.com/,$1M to $10M,Canter Capital,—,,https://www.linkedin.com/company/caddis/,11-50,"$3,406,439",2016
