Organization Name,CrunchBase URL,Last Funding Date,Total Funding Amount,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Website,Estimated Revenue Range,Top 5 Investors,Lead Investors,Twitter,LinkedIn,Number of Employees,Last Funding Amount,Founded Date
Indigo,https://www.crunchbase.com/organization/indigoag,"Mar 11, 2025","$1,440,500,000",Not Started,"Agriculture, AgTech, Farming, GreenTech","Boston, Massachusetts, United States",Indigo is an agricultural technology company that focuses on improving sustainability and profitability in farming practices.,49,http://www.indigoag.com/,$100M to $500M,"FedEx, Google, Flagship Pioneering, Activant Capital, G Squared","Activant Capital, Alaska Permanent Fund, Baillie Gifford, FedEx, Flagship Pioneering, Google, Pacific Western Bank",https://x.com/Indigoag,https://www.linkedin.com/company/indigoag,501-1000,"$1,500,000",2014
Celestial AI,https://www.crunchbase.com/organization/celestial-ai,"Mar 11, 2025","$593,874,997",Not Started,"AI Infrastructure, Artificial Intelligence (AI), Data Center, Machine Learning, Semiconductor, Software","Santa Clara, California, United States",Celestial AI develops an optical interconnect technology platform for data center and AI computing solutions.,801,https://www.celestial.ai/,—,"BlackRock, Temasek Holdings, Tiger Global Management, Fidelity, US Innovative Technology Fund","Fidelity, IAG Capital Partners, Koch Disruptive Technologies, Temasek Holdings, US Innovative Technology Fund, Xora Innovation",https://x.com/CelestialAIinc,https://www.linkedin.com/company/celestial-ai,101-250,"$255,000,000",2020
Worth AI,https://www.crunchbase.com/organization/worth-ai,"Mar 11, 2025","$39,550,000",Not Started,"Artificial Intelligence (AI), Business Intelligence, Financial Services, FinTech, Risk Management","Orlando, Florida, United States","Worth AI provides an AI-powered platform for business credit scoring, risk management, and financial underwriting with real-time insights.","1,486",https://worthai.com/,$10M to $50M,"Florida Funders, TTV Capital, DeepWork Capital, Silicon Valley Bank, Florida Opportunity Fund","Silicon Valley Bank, TTV Capital",https://x.com/joinworth,https://www.linkedin.com/company/worth-ai,51-100,"$20,000,000",2023
Cartesia,https://www.crunchbase.com/organization/cartesia,"Mar 11, 2025","$86,000,000",Not Started,"Artificial Intelligence (AI), Real Time, Software","San Francisco, California, United States",Cartesia provides real-time multimodal intelligence for all devices.,"1,992",https://www.cartesia.cloud/,$1M to $10M,"General Catalyst, Lightspeed Venture Partners, Index Ventures, Kleiner Perkins, A*","Index Ventures, Kleiner Perkins",https://x.com/cartesia_ai,https://www.linkedin.com/company/cartesia-ai,51-100,"$64,000,000","Sep 25, 2023"
Dexterity,https://www.crunchbase.com/organization/dexterity-93d4,"Mar 11, 2025","$291,200,000",Not Started,"Artificial Intelligence (AI), Logistics, Robotics, Supply Chain Management, Warehouse Automation, Warehousing","Redwood City, California, United States","Dexterity provides AI-powered robotic solutions for logistics, warehouses, and supply chains.","2,413",https://www.dexterity.ai/,$1M to $10M,"Lightspeed Venture Partners, Kleiner Perkins, Obvious Ventures, Liquid 2 Ventures, Ballistic Ventures","Kleiner Perkins, Lightspeed Venture Partners",https://x.com/dexterityrobots,https://www.linkedin.com/company/dexterityinc,251-500,"$95,000,000",2017
Booz Allen Hamilton,https://www.crunchbase.com/organization/booz-allen-hamilton,"Mar 11, 2025","$3,028,460,000",Not Started,"Consulting, Cyber Security, IT Infrastructure, Management Consulting, Security","Mclean, Virginia, United States","Booz Allen Hamilton is a consulting firm that specializes in analytics, technology, and engineering.","3,503",http://www.boozallen.com/,$10B+,—,—,https://x.com/BoozAllen,https://www.linkedin.com/company/booz-allen-hamilton,10001+,"$650,000,000",1914
Sayso,https://www.crunchbase.com/organization/sayso-205f,"Mar 11, 2025","$40,000,000",Not Started,"Artificial Intelligence (AI), Machine Learning, Software","San Francisco, California, United States",Sayso is a communication accessibility platform that improves speech intelligibility for humans and machines alike.,"4,171",https://sayso.ai/,Less than $1M,"UP Partners, Creative Destruction Lab (CDL)",UP Partners,,https://www.linkedin.com/company/saysoai/,1-10,"$40,000,000",May 2020
Neuromod Devices,https://www.crunchbase.com/organization/neuromod-devices,"Mar 11, 2025","€65,500,000",Not Started,"Biotechnology, Clinical Trials, Health Care, Medical, Medical Device, Neuroscience","Dublin, Dublin, Ireland",Neuromod Devices has developed LENIRE® (www.lenire.com) a non-invasive bimodal neuromodulation therapy for tinnitus.,"7,981",http://neuromoddevices.com/,$1M to $10M,"European Investment Bank, Enterprise Ireland, Fountain Healthcare Partners, Panakes Partners, Kreos Capital","Enterprise Ireland, European Investment Bank, Fountain Healthcare Partners, Panakes Partners",https://x.com/neuromoddevices,http://www.linkedin.com/company/neuromod-devices,11-50,"€10,000,000",2010
Aris Water Solutions,https://www.crunchbase.com/organization/aris-water-solutions,"Mar 11, 2025","$500,000,000",Not Started,"Environmental Engineering, Recycling, Water","Houston, Texas, United States",Aris Water Solutions develops and operates produced water infrastructure and recycling.,"9,803",https://www.ariswater.com/,$100M to $500M,Trilantic North America,Trilantic North America,,,251-500,"$500,000,000",2016
Southwest Research Institute,https://www.crunchbase.com/organization/southwest-research-institute-swri,"Mar 11, 2025","$19,474,000",Not Started,"Innovation Management, Market Research, Mechanical Engineering, Non Profit, Product Research","San Antonio, Texas, United States",Southwest Research Institute is an independent organization benefiting the government and others through innovative science and more.,"13,668",http://www.swri.org/,$500M to $1B,"US Department of Energy, Henry M. Jackson Foundation, NASA, ARPA-E, Isentropic","ARPA-E, Henry M. Jackson Foundation, Isentropic, Joaquin Castro, NASA, US Department of Energy",https://x.com/swri,http://www.linkedin.com/company/southwest-research-institute,1001-5000,"$3,000,000",1947
