Organization Name,CrunchBase URL,Last Funding Date,Total Funding Amount,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Website,Estimated Revenue Range,Top 5 Investors,Lead Investors,Twitter,LinkedIn,Number of Employees,Last Funding Amount,Founded Date
ADARx Pharmaceuticals,https://www.crunchbase.com/organization/adarx-pharmaceuticals,"Feb 1, 2025","$332,000,000",Not Started,"Biotechnology, Health Care, Medical, Pharmaceutical","San Diego, California, United States",ADARx Pharmaceuticals is a genetic medicine company focusing on the base editing of mRNA transcripts.,"1,239",http://www.adarx.com/,$1M to $10M,"BlackRock, Cormorant Asset Management, Vivo Capital, SR One, TCG Crossover","Ascenta Capital, Bain Capital Life Sciences, LG Technology Ventures, OrbiMed, SR One, TCG Crossover",,https://www.linkedin.com/company/adarx-pharmaceuticals-inc,11-50,—,2019
Fintary,https://www.crunchbase.com/organization/fintary,"Feb 1, 2025","$12,000,000",Not Started,"Artificial Intelligence (AI), Enterprise, Enterprise Software, Software","San Francisco, California, United States","Fintary is a AI-powered revenue growth platform offering business insights, analytics, and data processing services for insurance companies.","4,057",https://www.fintary.com/,$1M to $10M,"Alumni Ventures, Sierra Ventures, Infinity Ventures, Harlem Capital, Kyber Knight Capital","Harlem Capital, Infinity Ventures",,https://www.linkedin.com/company/fintary/,1-10,"$10,000,000",2021
Leucid Bio,https://www.crunchbase.com/organization/leucid-bio,"Feb 1, 2025","£18,700,000",Not Started,"Biotechnology, Health Care","London, England, United Kingdom",Leucid is progressing novel cart therapies that produce a better and more durable response.,"16,867",http://www.leucid.com/,$1M to $10M,"British Business Bank, Epidarex Capital, Sofinnova Partners, Vulpes Investment Management Pte Ltd, 2invest","2invest, Epidarex Capital, Vulpes Investment Management Pte Ltd",,https://www.linkedin.com/company/leucid/,11-50,"£7,200,000",2014
Bone Health Technologies,https://www.crunchbase.com/organization/bone-health-technologies,"Feb 1, 2025","$7,754,999",Not Started,"Health Care, Medical, Medical Device","San Francisco, California, United States","Bone Health Technologies is developing a new standard of care for treating osteopenia, the precursor to osteoporosis.","18,226",https://osteoboost.com/,$1M to $10M,"Good Growth Capital, Portfolia, Golden Seeds, Astia Angels, Reno Seed Fund","Good Growth Capital, New York Angels",,https://www.linkedin.com/company/bone-health-technologies/,11-50,—,2018
Trotana Therapeutics,https://www.crunchbase.com/organization/trotana-therapeutics,"Feb 1, 2025","$52,500,000",Not Started,"Biotechnology, Pharmaceutical, Therapeutics","San Diego, California, United States",Trotana Therapeutics is a biotech company that focuses on the discovery and development of medicines targeting RNA-binding proteins.,"25,190",https://trotana.com/,$1M to $10M,Lightstone Ventures,Lightstone Ventures,https://x.com/trotanatx,https://www.linkedin.com/company/trotana-inc,11-50,"$52,500,000",2019
MadMen AI,https://www.crunchbase.com/organization/sesame-labs-7ad9,"Feb 1, 2025","$8,400,000",Not Started,"Advertising, Artificial Intelligence (AI), Generative AI, Internet, Publishing, Software","San Francisco, California, United States",Marketing is a slog. Let's make it delightful.,"28,746",https://usemadmen.ai/,—,"Wing Venture Capital, Patron, Moonfire Ventures, Forte, Balaji Srinivasan","Patron, Wing Venture Capital",https://x.com/usemadmenai,https://www.linkedin.com/company/madmenai/,11-50,"$3,500,000",Mar 2022
TriClick,https://www.crunchbase.com/organization/hill-research,"Feb 1, 2025","$7,500,000",Not Started,"Generative AI, Health Care","Boston, Massachusetts, United States",Builds AI tools that support specific tasks in clinical trial planning and execution.,"31,072",https://www.hillresearch.ai/,—,"HSG, Covenant Venture Capital, MiraclePlus","Covenant Venture Capital, HSG",,https://www.linkedin.com/company/hill-research/?viewAsMember=true,11-50,"$7,500,000","Mar 22, 2022"
Millow.co,https://www.crunchbase.com/organization/millow-co,"Feb 1, 2025","€18,043,000",Not Started,"Food and Beverage, Food Delivery, Food Processing","Västra Frölunda, Vastra Gotaland, Sweden",Millow. co Producer of mycelium-based food items that aim to provide nutritious non-meat alternatives .,"43,958",https://millow.co/,—,"European Union, EIC Accelerator",EIC Accelerator,,https://www.linkedin.com/company/millow-co/about,1-10,"€643,000",2020
Team Wildfire,https://www.crunchbase.com/organization/team-wildfire,"Feb 1, 2025","$6,190,000",Not Started,Public Safety,"Boulder, Colorado, United States",Team Wildfire creates and deploys technologies that suppress wildfires.,"45,212",https://www.teamwildfire.com/,—,"Alumni Ventures, Techstars, Draper Associates, Cottonwood Technology Fund, MUUS Climate Partners","Alumni Ventures, Colorado Office of Economic Development and International Trade, Cottonwood Technology Fund, Draper Associates, Techstars",,https://www.linkedin.com/company/teamwildfire,1-10,"$1,600,000",2020
Exploris Health,https://www.crunchbase.com/organization/exploris-health,"Feb 1, 2025","CHF7,550,000",Not Started,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Medical Device, SaaS","Wallisellen, Zurich, Switzerland",SaaS/SaMD: Expert in AI-generated multi-marker algorithms.,"49,148",https://explorishealth.com/,$1M to $10M,DayOne accelerator,DayOne accelerator,,https://www.linkedin.com/company/exploris-ag/,11-50,"CHF1,450,000","Oct 12, 2018"
Cranium,https://www.crunchbase.com/organization/cranium-36f5,"Feb 1, 2025","$8,500,000",Not Started,"Artificial Intelligence (AI), Security, Software","Short Hills, New Jersey, United States",Cranium is an AI security and trust platform that delivers security and trust to the AI revolution.,"63,194",https://www.cranium.guru/,—,"Titanium Ventures, SYN Ventures, KPMG","SYN Ventures, Titanium Ventures",,,11-50,"$7,300,000","May 3, 2022"
Alphapet Ventures,https://www.crunchbase.com/organization/epetworld,"Feb 1, 2025","€13,000,000",Not Started,"E-Commerce, Internet, Internet of Things, Pet","Munich, Bayern, Germany",Alphapet Ventures is an online retailer and private label company based in Germany that sells pet food and supplies to pet owners.,"64,301",http://www.alpha.pet/,$1M to $10M,"Point Nine, Blumberg Capital, capiton, Heliad AG, Mountain Partners","Heliad AG, Mountain Alliance",,https://www.linkedin.com/company/alphapet-ventures-gmbh,51-100,—,2012
Jackson Hospital,https://www.crunchbase.com/organization/jackson-hospital,"Feb 1, 2025","$25,000,000",Not Started,"Health Care, Hospital, Medical, Non Profit","Montgomery, Alabama, United States","Jackson Hospital is a health care center that offers physical therapy, cardiac, cancer, neuroscience, orthopedic & emergency care services.","70,686",https://www.jackson.org/,$100M to $500M,Jackson Investment Group,Jackson Investment Group,https://x.com/JacksonHospital,https://www.linkedin.com/company/jacksonhospital/,1001-5000,"$25,000,000",1894
SuperFlox,https://www.crunchbase.com/organization/superflox,"Feb 1, 2025","€7,000,000",Not Started,"Manufacturing, Oil and Gas, Renewable Energy, Shipping","The Hague, Zuid-Holland, The Netherlands","SuperFlox develops, manufactures, operates and licenses flameless oxidisation tech which treats waste gases to near zero harmful emissions.","71,611",http://www.superflox.com/,—,—,—,,,1-10,"€2,000,000","Oct 1, 2024"
The Borderplex Alliance,https://www.crunchbase.com/organization/the-borderplex-alliance,"Feb 1, 2025","$19,700,000",Not Started,—,"El Paso, Texas, United States",The Borderplex Alliance serves as an economic development group that supports work across the Borderplex region.,"98,627",https://borderplexalliance.org/,$1M to $10M,—,—,,https://www.linkedin.com/company/the-borderplex-alliance,11-50,"$19,700,000",2013
Natural Cycles,https://www.crunchbase.com/organization/naturalcycles,"Jan 31, 2025","$102,067,614",Not Started,"Apps, Health Care, Medical Device, Personal Health, Women's","Stockholm, Stockholms Lan, Sweden",Natural Cycles is a healthcare app that uses body temperature to determine fertility status.,"7,598",http://www.naturalcycles.com/,$1M to $10M,"Headline, EQT Ventures, Heartcore Capital, JP Morgan, Point72 Ventures","Bonnier Capital, EQT Ventures, JP Morgan, Lauxera Capital Partners, Samsung Ventures",https://x.com/NaturalCycles,https://www.linkedin.com/company/naturalcycles,101-250,"R$15,000,000",Jun 2013
Echo Neurotechnologies,https://www.crunchbase.com/organization/echo-neurotechnologies,"Jan 31, 2025","$50,000,000",Not Started,"Health Diagnostics, Medical, Neuroscience, Therapeutics","San Francisco, California, United States",Echo Neurotechnologies specializes in brain-machine interfaces that provide patients control over external gadgets.,"8,029",https://www.echo.bio/,—,Andreessen Horowitz,Andreessen Horowitz,,,—,"$50,000,000",2023
Revi,https://www.crunchbase.com/organization/zyrl-ecdd,"Jan 31, 2025","$26,410,000",Not Started,"B2B, Food Delivery, Marketing Automation, Marketplace, Point of Sale, Software","San Francisco, California, United States","Revi enhances the in-store consumer experience, taking the data & automatically creating personalized campaigns to drive 40%+ more revenue.","14,580",https://getrevi.com/,$1M to $10M,"Precursor Ventures, Right Side Capital Management, Splash Capital, 10X Capital, 9Mile Labs",Right Side Capital Management,https://x.com/GetRevi_,https://www.linkedin.com/company/getrevi/,51-100,"$8,250,000",2016
Streamline,https://www.crunchbase.com/organization/streamline-3,"Jan 31, 2025","$17,413,359",Not Started,"Internet, Machine Learning, Real Estate, Retail, Software, Web Development","Sacramento, California, United States",Streamline offers software solutions for property management sectors.,"15,428",https://www.getstreamline.com/,$10M to $50M,"Techstars, Arthur Ventures, BarronKent Ventures, BarronKent Family Office","Arthur Ventures, BarronKent Family Office, BarronKent Ventures",https://x.com/streamlinegov,https://www.linkedin.com/company/streamline-gov,11-50,"$7,863,359",2015
Cactos,https://www.crunchbase.com/organization/cactos-aa16,"Jan 31, 2025","€35,500,000",Not Started,"Battery, Energy, Energy Management, Energy Storage, Renewable Energy","Kempele, Oulu, Finland",Cactos is a smart energy storage system that secures power supply locally.,"28,994",https://cactos.com/,$10M to $50M,"Union Square Ventures, Superhero Capital, OP Financial Group, Finnish Climate Fund, Ørsted Propel acceleration programme","Finnish Climate Fund, OP Financial Group, Ørsted Propel acceleration programme, Superhero Capital, Union Square Ventures",,https://www.linkedin.com/company/cactosenergy,101-250,"€7,000,000","Dec 12, 2021"
RightSite Health,https://www.crunchbase.com/organization/rightsite-health,"Jan 31, 2025","$33,649,995",Not Started,"Health Care, Hospital, Personal Health","San Antonio, Texas, United States",RightSite Health helps patients with urgent-but-non-emergency situations navigate away from the emergency room.,"29,390",https://rightsitehealth.com/,—,—,—,,https://www.linkedin.com/company/rightsite-health,11-50,"$19,999,995",2023
Taos Footwear,https://www.crunchbase.com/organization/taos-footwear,"Jan 31, 2025","$65,000,000",Not Started,"E-Commerce, Fashion, Retail, Shoes","Gardena, California, United States","Taos Footwear is a footwear brand that provides fashion sneakers, sandals, wool clogs, boots, casuals, and other accessories.","41,518",https://taosfootwear.com/,$10M to $50M,Prospect Capital Corporation,Prospect Capital Corporation,,https://www.linkedin.com/company/taos-footwear,11-50,"$65,000,000",2005
VoiceScript,https://www.crunchbase.com/organization/voicescript-inc,"Jan 31, 2025","$7,605,100",Not Started,"Legal, SaaS, Software","Cocoa, Florida, United States","SaaS, Legal Tech, Speech Technologies, Court Reporting Automation, Legal Transcription Automation","43,463",https://voicescript.ai/,$1M to $10M,"Two Lanterns Venture Capital, CFV Ventures, Network.VC, GSD Venture Studios, Activat VC",—,,https://www.linkedin.com/company/voicescript,11-50,"$4,255,100",Feb 2020
MintNeuro,https://www.crunchbase.com/organization/mintneuro,"Jan 31, 2025","£18,000,000",Not Started,"Health Care, Medical, Medical Device, Neuroscience, Semiconductor","London, England, United Kingdom","MintNeuro is a healthcare firm specializes in neuroscience, microtechnology, and implantable neural interfaces.","44,053",https://mintneuro.com/,—,"Plug and Play, Imperial College London, Empirical Ventures, ARIA, Excellis","ARIA, Empirical Ventures",https://x.com/mintneuro,https://www.linkedin.com/company/mintneuro,11-50,"£17,000,000",2022
DIH Technology,https://www.crunchbase.com/organization/dih-technology-inc,"Jan 31, 2025","$6,100,000",Not Started,—,"Volketswil, Zurich, Switzerland",About DIH has combined the best innovations and people needed to be the market leader in advanced rehabilitation technology.,"44,788",http://www.dih.com/,$50M to $100M,OrbiMed,OrbiMed,,https://www.linkedin.com/company/dih-technology/,101-250,"$4,600,000",2007
Scan Global Logistics,https://www.crunchbase.com/organization/scan-global-logistics,"Jan 31, 2025","€1,725,000,000",Not Started,"Freight Service, Logistics, Supply Chain Management, Transportation","Kastrup, Hovedstaden, Denmark",Scan Global Logistics is an international freight forwarding and logistics company that offers customized solutions for supply chain needs.,"47,216",https://www.scangl.com/,$1B to $10B,—,—,,https://www.linkedin.com/company/scan-global-logistics,1001-5000,"€375,000,000",1975
Four Corners Property Trust,https://www.crunchbase.com/organization/four-corners-property-trust,"Jan 31, 2025","$1,025,000,000",Not Started,"Property Management, Real Estate, Retail","Mill Valley, California, United States",Four Corners Property Trust is a real estate investment trust that engages primarily in management.,"82,335",https://fcpt.com/,$100M to $500M,"Morgan Stanley, Barclays, Mizuho Bank, Goldman Sachs Bank USA, American Savings Bank",—,,,501-1000,"$940,000,000",2015
Bighub,https://www.crunchbase.com/organization/bighub,"Jan 31, 2025","€10,000,000",Not Started,"E-Commerce, Internet, Publishing, SaaS, Sales","Huelva, Andalucia, Spain","BIGhub is an intelligent e-commerce platform that connects and automates sales, logistics, and pricing across marketplaces.","83,291",https://www.bighub.store/,—,"BlueCrow Capital, Startup Lisboa - Rocket Program","BlueCrow Capital, Startup Lisboa - Rocket Program",,https://www.linkedin.com/company/bighubofficial/,11-50,"€10,000,000","Feb 1, 2020"
CARMAT,https://www.crunchbase.com/organization/carmat-2,"Jan 31, 2025","€258,063,226",Not Started,"Health Care, Manufacturing, Medical, Medical Device","Vélizy-villacoublay, Ile-de-France, France",CARMAT is a medtech company that develops and manufactures bioprosthetic artificial hearts for the healthcare industry.,"92,321",http://www.carmatsa.com/,$1M to $10M,"European Investment Bank, European Innovation Council, Truffle Capital, Stephane Piat, Lohas SARL","European Innovation Council, European Investment Bank",https://x.com/carmatsa,https://www.linkedin.com/company/carmat,51-100,"€9,700,000",2008
Madeira Security,https://www.crunchbase.com/organization/madeira-security,"Jan 31, 2025","$7,010,000",Not Started,—,"New York, New York, United States",Madeira Security is a company.,"130,195",,—,—,—,,,—,"$7,010,000",—
Mountain Health Technologies,https://www.crunchbase.com/organization/mountain-health-technologies-31e6,"Jan 31, 2025","$13,038,470",Not Started,"Health Care, Medical, Wellness","Dallas, Texas, United States",Mountain Health Technologies offers primary and behavioral care services.,"148,763",https://joinmountain.com/index.html,$1M to $10M,Techstars,—,,,11-50,"$11,434,360",2019
Suki,https://www.crunchbase.com/organization/sukihq,"Jan 30, 2025","$165,000,000",Not Started,"Artificial Intelligence (AI), Health Care, Machine Learning, Natural Language Processing, Software","Redwood City, California, United States",Suki provides AI-powered voice solutions that streamline healthcare documentation processes.,"1,353",https://www.suki.ai/,$10M to $50M,"Gaingels, Flare Capital Partners, Venrock, First Round Capital, Social Capital","First Round Capital, Flare Capital Partners, Hedosophia, March Capital, Venrock, Zoom Ventures",https://x.com/SukiHQ,https://www.linkedin.com/company/SukiHQ,251-500,—,"Nov 15, 2016"
Boldyn Networks,https://www.crunchbase.com/organization/boldyn-networks,"Jan 30, 2025","$1,200,000,000",Not Started,"Professional Services, Telecommunications","London, England, United Kingdom","Boldyn Networks is a network infrastructure needed for a smart, inclusive, and sustainable future.","2,019",https://www.boldyn.com/,—,—,—,,https://www.linkedin.com/company/boldyn-networks,501-1000,"$1,200,000,000",—
