Organization Name,CrunchBase URL,Last Funding Date,Total Funding Amount,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Website,Estimated Revenue Range,Top 5 Investors,Lead Investors,Twitter,LinkedIn,Number of Employees,Last Funding Amount,Founded Date
Rain,https://www.crunchbase.com/organization/rain-855d,"Jan 9, 2026","$332,500,000",Not Started,"Blockchain, Cryptocurrency, Decentralized Finance (DeFi), FinTech, Web3","New York, New York, United States","Rain is a fintech company that builds stablecoin-powered payment infrastructure, allowing businesses and individuals to use tokenized money.",463,https://www.rain.xyz/,$10M to $50M,"Norwest, Lightspeed Venture Partners, Sapphire Ventures, Bessemer Venture Partners, Dragonfly","ICONIQ Capital, Norwest, Sapphire Ventures",https://x.com/raincards,https://www.linkedin.com/company/rainxyz,101-250,"$250,000,000",2021
SB Energy,https://www.crunchbase.com/organization/sb-energy-4ad2,"Jan 9, 2026","$4,025,000,000",Not Started,"Clean Energy, CleanTech, Energy, Renewable Energy, Solar","Redwood City, California, United States","SB Energy is a digital infrastructure and energy platform that develops, constructs, and operates energy and digital solutions.","1,430",https://sbenergy.com/,—,"OpenAI, Ares Management, Bank of America, Mizuho Capital, CIBC","Ares Management, California Energy Commission, OpenAI, SoftBank Group",https://x.com/sbenergyglobal,https://www.linkedin.com/company/sb-energy-softbank-group-,251-500,"$1,000,000,000",2015
bit.bio,https://www.crunchbase.com/organization/bit-bio,"Jan 9, 2026","$224,961,991",Not Started,"Biotechnology, Commercial, Health Care","Cambridge, Cambridgeshire, United Kingdom","Bit.bio provides engineered human cell products and platform services for biomedical research, drug discovery, and cell therapy development.","1,696",https://bit.bio/,$1M to $10M,"ARCH Venture Partners, BlueYard Capital, Foresite Capital, Tencent, Puhua Capital","Jonathan Milner, M&G Investments, Rick Klausner",https://x.com/bitbio,https://www.linkedin.com/company/bitbioltd,101-250,"$50,000,000",2016
Orca Bio,https://www.crunchbase.com/organization/orca-biosystem,"Jan 9, 2026","$542,000,000",Not Started,"Health Care, Medical, Pharmaceutical","Menlo Park, California, United States",Orca Bio is a clinical-stage cell therapy company dedicated to delivering curative medicine to patients.,"2,180",http://www.orcabio.com/,$10M to $50M,"Lightspeed Venture Partners, 8VC, Felicis, Mubadala, DCVC Bio","Lightspeed Venture Partners, Silicon Valley Bank",https://x.com/orcabio,https://www.linkedin.com/company/orcabio,251-500,"$250,000,000",2016
Incard,https://www.crunchbase.com/organization/incard-d25f,"Jan 9, 2026","£15,174,000",Not Started,"Banking, E-Commerce, Financial Services, FinTech, Payments, Software","London, England, United Kingdom","Incard is a fintech company that builds the first OS-banking platform for entrepreneurs, tailored to their unique financial workflows.","3,351",https://www.incard.co/,$1M to $10M,"SmartFin, Notion Capital, SyndicateRoom, Founders Capital, Mount VC",SmartFin,https://x.com/incard?,https://www.linkedin.com/company/incard,11-50,"£10,000,000","Dec 9, 2020"
AirNexis Therapeutics,https://www.crunchbase.com/organization/airnexis-therapeutics,"Jan 9, 2026","$200,000,000",Not Started,"Biotechnology, Health Care, Therapeutics","Palo Alto, California, United States",AirNexis Therapeutics develops clinical-stage therapies for chronic obstructive pulmonary disease and other pulmonary conditions.,"3,555",https://airnexis.com/,—,"SR One, Longitude Capital, OrbiMed, Frazier Life Sciences, Enavate Sciences",Frazier Life Sciences,,,—,"$200,000,000",2025
Performance Drone Works,https://www.crunchbase.com/organization/performance-drone-works,"Jan 9, 2026","$43,962,318",Not Started,"Aerospace, Automotive, Military","Huntsville, Alabama, United States",Performance Drone Works specializes in developing autonomous unmanned aerial systems.,"4,735",https://www.pdw.ai/,$100M to $500M,"Gaingels, Lux Capital, Lerer Hippeau, Ondas Networks, RSE Ventures",Ondas Networks,https://x.com/PDW_ai,https://www.linkedin.com/company/performance-drone-works-llc/,101-250,"$390,166",2019
TechMet,https://www.crunchbase.com/organization/techmet-limited,"Jan 9, 2026","$551,500,000",Not Started,"Energy, Mineral, Mining, Renewable Energy","Dublin, Dublin, Ireland",TechMet is a critical minerals investment company that builds projects to ensure a stable and sustainable supply of key metals.,"6,081",https://www.techmet.com/,—,"S2G Investments, U.S. International Development Finance Corp, Qatar Investment Authority, Mercuria, Ruttenberg Gordon Investments","Dale Ventures, Mercuria, Qatar Investment Authority, U.S. International Development Finance Corp",,https://www.linkedin.com/company/techmet-ltd,11-50,—,2017
Fly Exclusive,https://www.crunchbase.com/organization/fly-exclusive,"Jan 9, 2026","$116,200,000",Not Started,"Aerospace, Business Development, Consulting, Financial Services","Kinston, North Carolina, United States","Fly Exclusive provide high quality, safe &reliable private jet travel at industry leading levels of affordability, accessibility.","6,188",https://www.flyexclusive.com/,$100M to $500M,"EnTrust Global, State of North Carolina, EG Sponsor","EG Sponsor, EnTrust Global, State of North Carolina",https://x.com/flyExclusive,https://www.linkedin.com/company/flyexclusive/,501-1000,"$15,000,000",Apr 2015
Cloudforce,https://www.crunchbase.com/organization/cloudforce-2a87,"Jan 9, 2026","$10,000,000",Not Started,"Artificial Intelligence (AI), Cloud Computing, Cloud Management, Data Center, Software","National, Maryland, United States","Cloudforce designs cloud and AI solutions supporting organizations in building, migrating, and maintaining systems on the Microsoft Cloud.","6,217",https://www.gocloudforce.com/,$1M to $10M,"Owl Ventures, M12 - Microsoft's Venture Fund",Owl Ventures,,https://www.linkedin.com/company/gocloudforce,101-250,"$10,000,000",2010
Western Union,https://www.crunchbase.com/organization/western-union,"Jan 9, 2026","$800,000,000",Not Started,"Financial Exchanges, Financial Services, Internet, Mobile Payments, Payments","Englewood, Colorado, United States","Western Union provides consumers and businesses with fast, reliable and convenient ways to send and receive money around the world.","6,975",http://westernunion.com/,$1B to $10B,—,—,https://x.com/WesternUnion,https://www.linkedin.com/company/western-union,5001-10000,"$800,000,000",1851
Aurora Therapeutics,https://www.crunchbase.com/organization/aurora-therapeutics,"Jan 9, 2026","$16,000,000",Not Started,—,"Cambridge, Massachusetts, United States",Aurora Therapeutics is changing the way personalized gene-editing medications are created and approved for patients with rare diseases.,"8,307",https://www.auroratherapeutics.io/,—,Menlo Ventures,Menlo Ventures,https://x.com/AuroraTher,https://www.linkedin.com/company/aurora-therapeutics/,11-50,"$16,000,000",2025
Genelux,https://www.crunchbase.com/organization/genelux,"Jan 9, 2026","$129,481,268",Not Started,"Biopharma, Biotechnology, Health Care, Health Diagnostics","Westlake Village, California, United States",Genelux is a biopharmaceutical company that develops diagnostic and therapeutic solutions for cancer and inflammatory diseases.,"12,448",http://genelux.com/,$1M to $10M,Woodward Diversified Capital,Woodward Diversified Capital,https://x.com/Genelux_Corp,https://www.linkedin.com/company/genelux,11-50,"$20,000,000",2001
Ventaris Surgical,https://www.crunchbase.com/organization/ventaris-surgical-inc,"Jan 9, 2026","$30,684,891",Not Started,Medical Device,"San Carlos, California, United States",Ventaris Surgical is a medical equipment company that provides surgical instruments to specialists.,"13,162",http://www.ventarissurgical.com/,—,"Vensana Capital, Longitude Capital, Neotribe Ventures, Atypical Ventures, Boutique Venture Partners",Longitude Capital,,https://www.linkedin.com/company/ventaris-surgical/,1-10,"$30,684,891",2024
Rubico,https://www.crunchbase.com/organization/rubico-4cbc,"Jan 9, 2026","$11,500,000",Not Started,"Logistics, Oil and Gas, Shipping, Water Transportation","Paianía, Attiki, Greece","Rubico is a logistics company that provides crude oil shipping, tanker operations, and vessel management services.","17,675",https://rubicoinc.com/,—,—,—,,,1-10,"$4,000,000",Sep 2023
Savvy,https://www.crunchbase.com/organization/savvy-d932,"Jan 9, 2026","$6,483,929",Not Started,"Tourism, Travel Accommodations, Travel Agency, Vacation Rental","Austin, Texas, United States",Savvy is a travel company that offers vacation rental properties for travelers.,"19,028",https://www.savvy.com/,—,—,—,,https://www.linkedin.com/company/stay-savvy/,11-50,"$910,007",1998
Aptevo Therapeutics,https://www.crunchbase.com/organization/aptevo-therapeutics,"Jan 9, 2026","$138,250,000",Not Started,"Biometrics, Biopharma, Biotechnology, Oncology","Seattle, Washington, United States",Aptevo Therapeutics is a biotech company primarily focused on bringing novel oncology and hematology therapeutics to market.,"20,713",http://www.aptevotherapeutics.com/,$1M to $10M,Yorkville Advisors,Yorkville Advisors,,https://www.linkedin.com/company/aptevo-therapeutics-inc,11-50,"$60,000,000",2016
Foghorn Therapeutics,https://www.crunchbase.com/organization/foghorn-therapeutics,"Jan 9, 2026","$271,000,000",Not Started,"Biopharma, Biotechnology, Health Care, Life Science, Therapeutics","Cambridge, Massachusetts, United States","Foghorn Therapeutics is developing therapies based on a system that directs which genes our cells express,","20,919",http://foghorntx.com/,$10M to $50M,"Casdin Capital, Deerfield Management, Flagship Pioneering, Invus, Irving Investors",Flagship Pioneering,https://x.com/foghorntx,https://www.linkedin.com/company/foghorn-therapeutics/,101-250,"$50,000,000",2015
Urban Partners,https://www.crunchbase.com/organization/urban-partners,"Jan 9, 2026","PLN200,000,000",Not Started,"Finance, Financial Services, Impact Investing","Copenhagen, Hovedstaden, Denmark",Urban Partners is a platform dedicated to innovative investment strategies that align with a vision for addressing urban challenges,"24,672",https://urban.partners/,—,"Santander Bank Polska, Viessmann","Santander Bank Polska, Viessmann",,https://www.linkedin.com/company/urbanpartners,501-1000,"PLN200,000,000",2023
Pacifico Energy,https://www.crunchbase.com/organization/pacifico-power,"Jan 9, 2026","$121,552,500",Not Started,"Air Transportation, Real Estate, Renewable Energy","San Juan Capistrano, California, United States",Energy Infrastructure & Prime Generation Developer,"28,722",https://www.pacificoenergy.com/,$500M to $1B,"Mitsubishi UFJ Financial Group, Sumitomo Corporation of America, VietinBank Group","Mitsubishi UFJ Financial Group, Sumitomo Corporation of America, VietinBank Group",,https://www.linkedin.com/company/pacificoenergy/,11-50,"₫750,000,000,000",2010
Dream Exchange,https://www.crunchbase.com/organization/dream-exchange,"Jan 9, 2026","$10,000,000",Not Started,"Financial Services, Stock Exchanges, Trading Platform","Des Plaines, Illinois, United States","Dream Exchange is a stock exchange and venture exchange company that lists and trades stocks of small to mid-sized, early-stage companies.","30,536",https://dreamex.com/,Less than $1M,"Donald Bowen, Elwood Blackwell, Ian Skor, Baron Waller, Harvey Catchings","Baron Waller, Donald Bowen, Elwood Blackwell, Harvey Catchings, Ian Skor, Omar K. Danner",https://x.com/thedreamex,https://www.linkedin.com/company/dream-exchange,11-50,—,2016
Xeos,https://www.crunchbase.com/organization/xeos,"Jan 9, 2026","€14,000,000",Not Started,—,"Gent, Oost-Vlaanderen, Belgium",Xeos is a medical device innovation company.,"40,426",https://www.xeos.care/,—,—,—,,https://www.linkedin.com/company/xeos-care/,11-50,"€14,000,000",2019
Cemtrex,https://www.crunchbase.com/organization/cemtrex,"Jan 9, 2026","$17,250,000",Not Started,"Analytics, Artificial Intelligence (AI), Augmented Reality, Consumer Electronics, Electronics, Internet of Things, Manufacturing, Physical Security, Virtual Reality, Wearables","Hauppauge, New York, United States","Cemtrex drives innovation in many sectors, including smart tech, VR & AR, advanced electronic systems, and intelligent security systems.","56,018",http://www.cemtrex.com/,$50M to $100M,—,—,https://x.com/Cemtrex,http://www.linkedin.com/company/cemtrex-inc,501-1000,"$4,000,000",1998
iBio,https://www.crunchbase.com/organization/ibio,"Jan 9, 2026","$135,340,000",Not Started,"Biotechnology, Genetics, Robotics, Therapeutics","Newark, Delaware, United States",iBio is a technology platform that develops pharmaceutical product applications.,"61,096",http://ibioinc.com/,Less than $1M,"Frazier Life Sciences, Woodforest National Bank, ADAR1 Capital Management, Lynx1 Capital Management, Ikarian Capital","Frazier Life Sciences, Woodforest National Bank",,https://www.linkedin.com/company/ibio-inc.,11-50,"$26,000,000",Apr 2008
