Organization Name,Crunchbase URL,Industries,Headquarters Location,Description,CB Rank,Website,Estimated Revenue,Top 5 Investors,Lead Investors,Twitter URL,LinkedIn URL,Number of Employees,Last Funding Amount,Last Funding Date,Total Funding,Founded Date,Deal Stage
Rocket Lab,https://www.crunchbase.com/organization/rocket-lab,"Aerospace, Manufacturing, Software, Space Travel","Long Beach, California, United States","Rocket Lab is an aerospace company that provides launch services, spacecraft design, and manufacturing of satellite components.",38,https://rocketlabcorp.com/,$500M to $1B,"BlackRock, Bessemer Venture Partners, Khosla Ventures, Promus Ventures, DCVC","Bessemer Venture Partners, Canadian Space Agency, DCVC, Future Fund, Khosla Ventures, Trinity Capital, United States Space Force, U.S. Department of Commerce",https://x.com/rocketlab,https://www.linkedin.com/company/rocket-lab-limited,1001-5000,—,"Dec 9, 2025","$1,982,150,000",2006,Not Started
Saviynt,https://www.crunchbase.com/organization/saviynt,"Artificial Intelligence (AI), Cloud Data Services, Cyber Security, Enterprise Software","El Segundo, California, United States",Saviynt offers an AI-based identity security platform that secures and governs all types of identities across digital ecosystems.,481,http://saviynt.com/,—,"Ten Eleven Ventures, HPS Investment Partners, Kohlberg Kravis Roberts & Co., PNC Bank, Carrick Capital Partners","Carrick Capital Partners, HPS Investment Partners, Kohlberg Kravis Roberts & Co., PNC Bank",https://x.com/saviynt,https://www.linkedin.com/company/saviynt,1001-5000,"$700,000,000","Dec 9, 2025","$1,075,000,000",2010,Not Started
Fal,https://www.crunchbase.com/organization/fal-7958,"AI Infrastructure, Artificial Intelligence (AI), Developer Platform, Information Technology, Machine Learning","San Francisco, California, United States",Fal is a generative media platform that helps developers create applications using AI models.,"1,034",https://www.fal.ai/,$100M to $500M,"Andreessen Horowitz, Sequoia Capital, Bessemer Venture Partners, Kleiner Perkins, e2vc","Andreessen Horowitz, Kindred Ventures, Meritech Capital Partners, Notable Capital, Sequoia Capital",https://x.com/fal,https://www.linkedin.com/company/features-and-labels,101-250,"$140,000,000","Dec 9, 2025","$337,000,000",2021,Not Started
Venture Global LNG,https://www.crunchbase.com/organization/venture-global-partners,"Construction, Energy, Natural Resources, Oil and Gas","Washington, District of Columbia, United States","Venture Global LNG develops, constructs, and operates liquefied natural gas (LNG) export facilities.","1,450",https://ventureglobal.com/,$1B to $10B,"Stonepeak, Santander, Goldman Sachs, Deutsche Bank, Bank of America",Stonepeak,https://x.com/venture_global,https://www.linkedin.com/company/venture-global-lng-inc.,1001-5000,"$3,000,000,000","Dec 9, 2025","$46,475,000,000",2013,Not Started
Citius Oncology,https://www.crunchbase.com/organization/citius-oncology,"Medical, Oncology, Pharmaceutical","Cranford, New Jersey, United States",Citius Oncology is a pharmaceutical company that provides the development and commercialization of innovative oncology therapies.,"2,493",https://citiusonc.com/overview/default.aspx,—,—,—,,,1-10,"$18,000,000","Dec 9, 2025","$36,000,000",2024,Not Started
Sibel Health,https://www.crunchbase.com/organization/sibel-health,"Artificial Intelligence (AI), Health Care, Medical, Medical Device","Niles, Illinois, United States",Sibel Health is a medical technology company that provides wireless vital signs monitoring and data integration.,"2,744",https://www.sibelhealth.com/,$10M to $50M,"Bill & Melinda Gates Foundation, Samsung NEXT, U.S. Food and Drug Administration, Dräger, Maruho","Bill & Melinda Gates Foundation, Maruho, Samsung NEXT, Steele Foundation for Hope, U.S. Food and Drug Administration",https://x.com/sibel_health,https://www.linkedin.com/company/sibel-health,51-100,"$500,000","Dec 9, 2025","$92,256,775",2018,Not Started
Hometap,https://www.crunchbase.com/organization/hometap,"Finance, Financial Exchanges, Financial Services, FinTech","Boston, Massachusetts, United States",Hometap is a fintech company allowing homeowners to tap their home equity without monthly payments.,"2,921",https://www.hometap.com/,$50M to $100M,"General Catalyst, Bain Capital, ICONIQ Capital, American Family Ventures, G20 Ventures","American Family Ventures, G20 Ventures, Gallatin Point Capital, ICONIQ Capital",https://x.com/hometap,https://www.linkedin.com/company/hometap-equity-partners,101-250,"$50,000,000","Dec 9, 2025","$1,017,000,000",2017,Not Started
Vera Therapeutics,https://www.crunchbase.com/organization/trucode-gene-repair,"Biotechnology, Health Care","South San Francisco, California, United States",Vera Therapeutics is a biotechnology company developing innovative biologic therapeutics with transformative clinical potential.,"3,263",https://veratx.com/,—,"Kleiner Perkins, Fidelity, Longitude Capital, Abingworth, Google Ventures","Abingworth, Google Ventures, Kleiner Perkins, Oxford Finance LLC",https://x.com/Official_VeraTx,https://www.linkedin.com/company/trucode-gene-repair-inc/,101-250,"$261,000,000","Dec 9, 2025","$1,232,400,000",2016,Not Started
Relation Therapeutics,https://www.crunchbase.com/organization/relation-therapeutics,"Biotechnology, Genetics, Health Care, Medical","London, England, United Kingdom",Relation Therapeutics is a biotechnology company that focuses on humanizing drug discovery and development.,"4,253",https://www.relationrx.com/,$1M to $10M,"Khosla Ventures, NVentures, OMERS Ventures, DCVC, Novartis","DCVC, Magnetic Ventures, Novartis, NVentures",,https://www.linkedin.com/company/relation-therapeutics/,11-50,"$26,000,000","Dec 9, 2025","$95,000,000",2019,Not Started
AMC Robotics,https://www.crunchbase.com/organization/amc-robotics,"Artificial Intelligence (AI), Business Development, Logistics, Robotics, Warehousing","New York, New York, United States",AMC Robotics is an artificial intelligence company that builds autonomous robots for the logistics and warehousing industries.,"4,494",https://www.amcx.ai/,$1M to $10M,—,—,,,1-10,"$8,000,000","Dec 9, 2025","$8,000,000",2023,Not Started
